OA11CD,PC_DIST
E00003662,BR6
E00003871,BR6
E00003706,BR6
E00003299,BR6
E00003877,BR6
E00003868,BR6
E00003295,BR6
E00003670,BR6
E00003673,BR6
E00003539,BR6
E00003699,BR6
E00003301,BR6
E00003872,BR6
E00003315,BR6
E00166623,BR6
E00003664,BR6
E00003289,BR6
E00003959,BR6
E00166618,BR6
E00003324,BR6
E00003669,BR6
E00003325,BR6
E00003647,BR6
E00003660,BR6
E00003693,BR6
E00003312,BR6
E00003666,BR6
E00003308,BR6
E00003686,BR6
E00003956,BR6
E00003682,BR6
E00003989,BR6
E00003840,BR6
E00003535,BR6
E00003303,BR6
E00003683,BR6
E00003862,BR6
E00003328,BR6
E00003530,BR6
E00003665,BR6
E00003663,BR6
E00003700,BR6
E00003500,BR6
E00003702,BR6
E00003658,BR6
E00003288,BR6
E00003680,BR6
E00003703,BR6
E00003677,BR6
E00003291,BR6
E00003958,BR6
E00003568,BR6
E00003298,BR6
E00003870,BR6
E00003847,BR6
E00003954,BR6
E00003882,BR6
E00003304,BR6
E00003498,BR6
E00003952,BR6
E00003675,BR6
E00003287,BR6
E00003496,BR6
E00003876,BR6
E00007973,BR7
E00003131,BR7
E00003365,BR7
E00003335,BR7
E00003371,BR7
E00003353,BR7
E00003355,BR7
E00003808,BR7
E00003346,BR7
E00003342,BR7
E00003332,BR7
E00003358,BR7
E00003339,BR7
E00003343,BR7
E00003368,BR7
E00003350,BR7
E00003347,BR7
E00003351,BR7
E00003361,BR7
E00003357,BR7
E00003329,BR7
E00003375,BR7
E00003348,BR7
E00003330,BR7
E00003835,BR7
E00003829,BR7
E00003369,BR7
E00003376,BR7
E00003553,BR7
E00003354,BR7
E00003836,BR7
E00003805,BR7
E00003364,BR7
E00003128,BR7
E00003372,BR7
E00003344,BR7
E00003834,BR7
E00003338,BR7
E00003373,BR7
E00003359,BR7
E00003333,BR7
E00003363,BR7
E00003367,BR7
E00003360,BR7
E00003366,BR7
E00003337,BR7
E00003374,BR7
E00003356,BR7
E00003341,BR7
E00003345,BR7
E00003349,BR7
E00003370,BR7
E00003331,BR7
E00003334,BR7
E00003362,BR7
E00003340,BR7
E00003352,BR7
E00003336,BR7
E00003520,BR8
E00017355,CR0
E00020535,CR0
E00021078,CR0
E00020542,CR0
E00020543,CR0
E00020594,CR0
E00020545,CR0
E00020555,CR0
E00020554,CR0
E00020536,CR0
E00020540,CR0
E00020580,CR0
E00020577,CR0
E00020546,CR0
E00020538,CR0
E00020537,CR0
E00020553,CR0
E00020549,CR0
E00005388,CR0
E00005021,CR0
E00005280,CR0
E00005837,CR0
E00004929,CR0
E00005200,CR0
E00004923,CR0
E00005247,CR0
E00005634,CR0
E00005036,CR0
E00004879,CR0
E00005265,CR0
E00005321,CR0
E00005552,CR0
E00005034,CR0
E00005623,CR0
E00005227,CR0
E00005553,CR0
E00004971,CR0
E00005276,CR0
E00004938,CR0
E00005878,CR0
E00004945,CR0
E00005277,CR0
E00004898,CR0
E00005558,CR0
E00005052,CR0
E00004937,CR0
E00004949,CR0
E00004893,CR0
E00005272,CR0
E00005527,CR0
E00005189,CR0
E00005367,CR0
E00005041,CR0
E00005270,CR0
E00004873,CR0
E00005839,CR0
E00174943,CR0
E00005620,CR0
E00004935,CR0
E00005926,CR0
E00005853,CR0
E00005855,CR0
E00005852,CR0
E00004903,CR0
E00005549,CR0
E00004921,CR0
E00005636,CR0
E00004865,CR0
E00005568,CR0
E00174958,CR0
E00005274,CR0
E00005617,CR0
E00005234,CR0
E00004858,CR0
E00005843,CR0
E00004877,CR0
E00005369,CR0
E00004928,CR0
E00005015,CR0
E00004857,CR0
E00005243,CR0
E00005613,CR0
E00004855,CR0
E00005813,CR0
E00005860,CR0
